student_id,age,gender,course,year,daily_study_hours,daily_sleep_hours,screen_time_hours,stress_level,anxiety_score,depression_score,academic_pressure_score,financial_stress_score,social_support_score,physical_activity_hours,sleep_quality,attendance_percentage,cgpa,internet_quality,burnout_level
100092,23,Other,MCA,2nd,5.1,8.2,1.7,Medium,1,9,5,10,3,0.3,Good,52.6,5.07,Good,Medium
100093,23,Female,BTech,1st,7.2,6.3,7.0,High,10,7,9,6,2,1.5,Average,50.2,7.56,Good,High
100094,24,Other,MBA,1st,2.3,7.3,9.8,Medium,3,2,3,7,5,0.6,Poor,50.5,8.83,Poor,Low
100095,21,Male,BBA,2nd,8.3,8.2,2.1,High,8,5,2,9,10,1.1,Good,63.1,4.64,Good,Low
100096,19,Other,MCA,2nd,7.4,8.7,7.1,Medium,6,5,8,6,7,1.4,Average,55.3,9.47,Average,Low
100097,24,Male,BTech,2nd,9.5,7.5,4.9,Low,7,7,10,7,1,0.5,Average,99.8,6.76,Average,Low
100098,22,Other,BCA,3rd,4.5,5.4,5.7,High,1,2,8,4,5,1.3,Average,53.5,9.91,Average,Medium
100099,19,Other,BSc,3rd,3.9,6.3,4.2,High,7,8,2,4,7,1.3,Poor,81.6,7.22,Average,Medium
100100,17,Female,BTech,3rd,3.6,7.4,8.0,Low,5,8,6,10,3,1.3,Good,64.3,7.56,Poor,Low
100101,19,Other,MBA,2nd,10.0,4.2,11.0,Low,7,5,3,7,1,1.0,Good,84.1,8.34,Good,High
100102,21,Female,BBA,4th,9.4,4.1,10.5,Medium,3,9,1,4,10,1.7,Poor,86.3,5.14,Average,High
100103,19,Female,BBA,4th,6.9,6.4,12.0,High,1,9,6,10,9,0.7,Poor,88.2,7.2,Good,Medium
100104,17,Other,MBA,2nd,7.6,6.6,3.7,High,4,9,10,3,10,2.0,Average,51.2,8.97,Average,Medium
100105,21,Female,BBA,3rd,8.1,6.5,6.2,Low,7,3,9,1,9,1.8,Average,51.4,5.84,Poor,Low
100106,23,Male,MCA,3rd,6.6,5.2,2.1,Medium,6,3,9,7,10,1.9,Average,81.5,8.04,Average,High
100107,23,Other,BTech,1st,9.6,7.4,4.2,Medium,10,8,6,8,9,1.8,Average,99.6,8.97,Good,High
100108,25,Other,BBA,1st,3.1,6.3,8.6,Low,5,6,2,2,2,1.5,Poor,62.2,7.14,Average,High
100109,19,Male,MBA,4th,2.7,7.0,6.9,High,7,4,9,6,9,0.8,Good,98.6,5.41,Average,Medium
100110,23,Male,MBA,4th,1.3,7.9,11.9,Medium,2,3,9,4,10,1.3,Good,62.2,8.64,Poor,Low
100111,17,Male,MBA,2nd,7.9,5.1,8.4,Medium,7,5,9,5,10,0.7,Average,86.1,9.61,Average,Medium
100112,20,Other,MCA,3rd,3.8,7.9,5.5,Low,4,5,3,8,4,0.4,Poor,91.0,8.48,Good,Medium
100113,20,Male,MCA,2nd,8.6,6.5,2.5,Low,8,2,10,5,5,1.5,Poor,99.3,8.02,Good,Low
100114,21,Male,BTech,2nd,3.6,8.2,12.0,Low,5,4,3,5,9,0.4,Good,65.3,6.39,Average,Medium
100115,23,Other,BCA,4th,8.0,7.7,11.8,High,7,2,9,3,10,1.7,Good,66.7,7.07,Poor,Medium
100116,23,Other,BSc,2nd,8.4,6.3,7.7,High,6,10,4,4,8,1.4,Poor,78.9,8.16,Average,Medium
100117,20,Other,BCA,2nd,9.2,6.3,6.7,High,4,9,9,4,9,0.8,Good,61.1,9.27,Good,High
100118,23,Female,BSc,3rd,3.6,4.9,2.6,Medium,5,2,10,1,10,0.9,Poor,60.4,7.28,Average,High
100119,19,Male,BSc,3rd,3.9,4.4,4.3,High,6,5,10,5,6,1.6,Poor,81.9,7.71,Good,Low
100120,22,Female,BTech,4th,8.8,4.9,5.6,Low,2,3,7,4,10,0.8,Poor,80.4,9.88,Poor,Low
100121,18,Female,BCA,1st,7.1,8.7,10.5,High,4,5,6,7,5,1.0,Good,51.3,6.83,Good,Medium
100122,25,Other,BSc,2nd,4.6,7.2,5.2,High,2,9,10,8,5,0.8,Poor,86.1,8.11,Poor,Low
100123,21,Male,BTech,3rd,7.1,8.5,2.6,Low,7,6,10,1,8,1.7,Poor,88.9,9.85,Good,Medium
100124,22,Female,BBA,4th,2.9,4.5,8.4,Low,3,6,6,5,1,1.4,Good,76.6,7.57,Average,Medium
100125,20,Other,BCA,2nd,2.5,6.3,3.5,Medium,3,6,4,2,4,0.1,Average,74.2,9.56,Average,Low
100126,23,Female,MBA,4th,4.4,6.0,5.2,Low,6,3,9,2,4,0.8,Poor,95.9,4.73,Poor,High
100127,25,Male,BTech,1st,1.3,6.1,3.1,Medium,9,4,2,1,10,1.8,Average,79.1,6.11,Average,Low
100128,23,Other,BBA,2nd,2.7,5.9,10.1,Medium,7,2,3,7,4,0.3,Poor,65.8,4.85,Poor,Low
100129,17,Female,MBA,4th,2.5,7.0,3.5,Low,7,2,9,7,1,0.7,Average,95.9,5.69,Good,Low
100130,17,Other,MCA,2nd,4.7,5.6,9.7,Medium,9,10,2,1,8,0.1,Good,84.3,7.73,Good,Medium
100131,25,Male,BTech,1st,5.8,4.2,6.4,Low,6,8,2,6,9,1.1,Good,50.3,8.37,Poor,Medium
100132,25,Female,BSc,2nd,9.8,8.5,10.6,Low,2,4,5,4,6,0.3,Average,92.6,9.1,Good,Medium
100133,20,Male,BTech,2nd,6.1,4.3,3.5,Medium,7,5,8,2,9,0.1,Good,89.5,4.12,Poor,Low
100134,25,Other,BTech,2nd,5.5,7.3,2.7,Low,8,3,3,6,3,1.3,Average,54.4,9.09,Good,Medium
100135,19,Other,BCA,4th,7.9,7.3,8.1,Medium,9,4,9,8,10,0.4,Poor,83.9,10.0,Good,Medium
100136,23,Other,MCA,2nd,1.3,7.4,12.0,Medium,9,5,9,9,1,0.7,Poor,67.4,4.23,Poor,Low
100137,22,Male,BSc,2nd,8.1,7.9,11.8,High,10,10,3,8,6,1.4,Poor,61.3,6.1,Average,Low
100138,24,Other,BSc,3rd,6.0,5.5,10.6,Medium,1,8,3,6,8,0.3,Poor,84.6,4.32,Poor,Medium
100139,25,Other,BCA,1st,2.9,5.0,9.5,High,4,8,1,5,10,1.1,Poor,90.9,4.49,Poor,Low
100140,21,Other,MBA,4th,6.2,5.4,11.9,High,9,7,9,10,6,0.5,Poor,52.0,7.43,Average,Low
100141,17,Female,BCA,2nd,4.2,7.7,7.0,High,10,2,1,6,10,1.7,Good,87.2,9.96,Good,High
100142,19,Female,MBA,2nd,6.4,6.0,12.0,High,6,1,9,9,5,1.4,Good,80.8,5.18,Poor,High
100143,24,Male,MCA,2nd,2.7,7.5,1.1,Medium,3,6,9,7,8,1.1,Good,83.5,8.69,Average,High
100144,22,Female,BCA,2nd,4.5,4.2,4.1,High,1,8,1,10,6,1.4,Poor,92.0,5.77,Good,Medium
100145,24,Male,BCA,2nd,9.9,6.4,5.0,High,4,1,10,4,10,1.7,Average,83.4,4.53,Good,High
100146,25,Male,BSc,4th,3.1,5.9,10.9,High,4,6,7,5,3,0.6,Average,80.1,8.34,Poor,Low
100147,20,Male,MBA,3rd,6.5,4.8,5.1,Low,10,5,3,1,8,1.1,Average,82.7,5.62,Poor,Medium
100148,17,Female,BBA,2nd,7.9,6.9,3.1,Low,8,6,4,8,10,2.0,Average,57.8,8.39,Average,High
100149,17,Male,MCA,3rd,1.6,5.5,9.2,Low,8,9,10,1,7,1.6,Average,95.5,5.15,Average,Medium
100150,20,Male,BBA,1st,5.6,8.2,7.1,Low,3,4,4,1,1,1.0,Poor,57.2,7.21,Good,Low
100151,23,Male,MBA,4th,4.5,4.4,4.4,High,7,4,7,3,2,1.9,Average,52.9,4.76,Good,Medium
100152,18,Other,BSc,4th,6.2,7.8,4.3,High,10,8,2,6,4,0.7,Poor,62.7,5.57,Good,Low
100153,19,Other,BBA,1st,3.5,7.4,4.3,Low,3,6,6,2,8,0.6,Average,57.8,6.68,Poor,High
100154,17,Female,BTech,2nd,1.5,4.6,6.4,High,2,3,10,3,7,1.9,Average,52.5,4.81,Good,Medium
100155,21,Female,MBA,1st,10.0,4.6,10.3,Medium,2,1,4,6,8,0.8,Good,87.8,5.08,Poor,Medium
100156,17,Other,BCA,3rd,3.8,5.0,2.4,High,4,10,7,10,9,0.9,Poor,62.2,6.69,Good,Low
100157,24,Other,BCA,3rd,1.6,6.1,7.6,High,1,8,6,9,9,1.8,Good,56.4,4.87,Average,Medium
100158,17,Female,BTech,2nd,9.5,4.3,9.8,High,3,8,5,7,10,0.6,Good,87.9,5.51,Average,Low
100159,17,Other,BCA,2nd,6.4,4.3,9.0,High,4,7,3,10,4,1.2,Good,98.4,8.22,Good,High
100160,18,Male,BCA,2nd,2.3,8.2,6.7,Low,10,9,2,3,7,0.1,Good,96.0,8.87,Average,High
100161,18,Female,BTech,1st,4.9,7.6,9.7,Low,5,10,3,2,6,0.0,Good,90.2,6.8,Good,Low
100162,22,Male,BSc,3rd,1.5,5.7,5.8,Low,10,6,3,9,7,1.5,Good,56.6,4.07,Good,Medium
100163,23,Male,BTech,1st,8.1,5.6,7.4,High,6,4,5,1,6,1.0,Average,92.9,9.18,Average,High
100164,21,Male,BCA,2nd,3.5,6.4,10.5,Medium,2,8,7,9,8,1.6,Poor,95.0,6.86,Good,Low
100165,17,Male,BBA,4th,4.0,4.1,8.0,High,1,7,6,10,9,1.2,Poor,82.7,7.36,Poor,Low
100166,17,Male,MBA,2nd,7.8,5.3,4.8,High,5,5,1,9,4,1.6,Average,66.8,4.01,Average,High
100167,19,Other,MCA,1st,2.2,5.8,1.8,Medium,8,7,5,5,1,1.9,Average,82.7,4.94,Poor,Medium
100168,18,Other,BCA,3rd,2.8,7.5,9.3,High,4,3,8,6,10,1.6,Average,73.0,4.26,Poor,High
100169,21,Male,MBA,3rd,2.2,7.7,11.9,High,1,9,8,10,7,1.3,Average,63.2,9.24,Average,Low
100170,22,Female,BBA,1st,6.3,6.3,4.0,Medium,7,10,4,6,5,0.2,Good,64.8,6.76,Average,Low
100171,23,Other,MCA,4th,6.7,5.9,8.8,Low,6,6,10,6,8,0.4,Poor,90.1,6.17,Poor,Low
100172,20,Male,MBA,2nd,1.2,7.3,7.6,High,8,1,1,4,1,1.4,Good,98.2,8.92,Average,High
100173,23,Female,MCA,2nd,1.4,8.1,8.1,Medium,7,5,5,6,3,0.6,Good,52.6,6.98,Average,Medium
100174,24,Other,BSc,2nd,2.5,7.6,1.2,Low,9,2,8,2,9,0.8,Average,68.5,9.61,Poor,Low
100175,17,Female,BCA,1st,5.5,8.4,11.9,High,6,4,2,10,4,1.1,Average,75.6,5.51,Average,Low
100176,22,Other,MBA,2nd,3.0,4.3,11.2,Medium,7,4,8,7,7,1.6,Average,69.9,9.53,Good,Low
100177,24,Other,BSc,1st,2.5,4.5,11.3,Low,1,3,9,9,5,1.0,Average,96.5,5.95,Good,Low
100178,21,Other,MCA,3rd,7.6,5.2,1.2,Low,1,10,1,6,3,0.7,Average,62.9,9.99,Average,Medium
100179,20,Female,BBA,2nd,8.7,5.5,5.2,High,1,9,9,7,10,1.6,Poor,68.5,6.68,Good,Medium
100180,18,Female,BTech,2nd,8.2,7.0,6.6,Low,3,7,2,7,10,1.6,Poor,74.3,4.94,Average,High
100181,22,Male,BSc,2nd,1.7,5.3,1.7,Medium,5,8,7,9,7,1.0,Average,78.2,8.9,Average,High
100182,22,Female,BCA,2nd,6.7,6.9,11.2,High,9,5,7,1,2,0.8,Poor,61.7,7.46,Average,Low
100183,17,Female,BCA,3rd,1.9,7.9,2.1,High,6,5,7,10,3,0.6,Average,89.5,8.73,Good,High
100184,25,Male,BBA,3rd,4.3,4.9,6.6,Medium,4,4,9,2,3,0.9,Poor,69.9,4.23,Poor,High
100185,22,Other,BSc,2nd,5.5,8.6,8.9,Medium,6,6,8,3,1,1.7,Good,61.6,5.96,Poor,Low
100186,19,Female,BSc,1st,6.2,7.2,1.5,High,3,5,4,1,5,0.3,Poor,77.2,8.01,Good,Low
100187,20,Male,BSc,4th,2.7,7.3,5.2,Low,2,7,2,4,5,0.6,Average,73.1,9.21,Average,Medium
100188,20,Other,BCA,3rd,7.7,6.0,8.7,Medium,6,6,9,9,2,1.4,Good,80.6,8.01,Good,Low
100189,19,Male,MBA,3rd,8.6,4.6,4.5,High,6,7,10,6,2,1.2,Average,81.5,7.15,Average,Medium
100190,19,Other,BTech,3rd,7.4,8.4,8.2,High,4,1,4,3,2,0.5,Average,63.4,9.9,Good,Low
100191,19,Other,BBA,4th,1.2,7.2,8.7,Low,7,5,3,6,7,0.6,Poor,84.6,9.03,Average,Low
100192,20,Female,MCA,1st,1.1,8.4,11.2,High,8,6,3,10,5,2.0,Average,87.5,6.06,Poor,Low
100193,23,Male,BSc,1st,3.1,5.9,6.4,Low,6,4,5,4,10,1.9,Average,83.1,5.12,Average,High
100194,20,Other,MCA,2nd,3.6,7.5,11.5,High,10,8,7,7,5,1.3,Poor,66.6,9.97,Average,High
100195,25,Male,BBA,1st,3.2,6.2,10.8,Medium,5,4,4,2,6,1.8,Poor,97.8,4.25,Average,High
100196,17,Other,BTech,2nd,9.7,5.5,5.0,High,5,4,3,2,1,1.7,Poor,87.1,8.27,Average,High
100197,24,Female,BBA,2nd,8.4,5.5,6.0,Medium,2,8,1,4,3,1.8,Good,78.3,5.7,Average,High
100198,23,Male,MBA,1st,4.4,5.5,8.0,Medium,2,6,6,9,10,0.9,Average,57.6,6.95,Poor,Medium
100199,18,Female,MBA,1st,1.3,4.8,3.1,Medium,10,8,9,6,3,0.8,Poor,73.9,4.65,Average,High
100200,24,Other,BSc,2nd,3.5,6.6,1.5,Low,10,8,3,10,5,0.5,Good,76.5,8.33,Average,Medium
100201,17,Male,MCA,4th,2.7,8.0,9.8,High,2,9,8,4,5,0.0,Good,99.0,7.83,Average,Low
100202,25,Female,BSc,1st,8.5,7.6,1.6,High,3,9,4,7,2,0.5,Average,52.3,7.0,Average,Medium
100203,25,Male,BSc,4th,7.2,8.5,3.5,Low,7,2,10,4,8,1.8,Poor,94.6,5.99,Good,Medium
100204,18,Other,BBA,1st,7.0,5.1,6.0,Low,3,5,4,7,9,1.8,Average,78.4,9.6,Average,Low
100205,23,Other,MCA,2nd,8.0,7.9,3.7,Low,1,3,7,4,6,1.1,Poor,75.9,8.82,Poor,Medium
100206,19,Other,BBA,4th,8.0,7.9,11.5,Low,9,1,9,3,10,1.3,Good,83.4,4.72,Poor,Low
100207,23,Female,MCA,1st,8.3,5.3,3.1,High,10,10,5,7,7,1.3,Good,53.1,6.0,Poor,High
100208,25,Male,BSc,2nd,1.2,7.3,6.3,Medium,9,1,5,8,2,0.4,Poor,85.2,4.15,Average,Medium
100209,20,Male,BCA,2nd,9.4,5.2,2.6,Low,2,2,5,3,10,0.2,Average,70.6,6.58,Average,High
100210,17,Other,BTech,4th,9.5,6.1,11.7,Medium,2,4,9,8,5,0.8,Good,86.2,7.48,Poor,High
100211,18,Male,MBA,3rd,9.0,8.2,7.4,Medium,5,10,10,1,6,0.1,Average,65.5,8.19,Poor,Medium
100212,17,Other,MCA,3rd,7.2,4.2,5.8,Low,8,8,8,10,7,0.8,Average,71.0,4.04,Average,High
100213,21,Female,BTech,3rd,2.4,6.1,2.1,Low,2,1,1,7,3,1.2,Average,83.0,5.15,Good,Low
100214,21,Female,BSc,1st,1.2,7.3,4.3,Low,4,4,2,3,3,1.6,Average,89.1,8.22,Poor,High
100215,23,Other,BSc,3rd,6.1,8.3,7.2,High,8,10,7,3,3,0.0,Average,71.8,5.38,Poor,High
100216,25,Female,MBA,1st,3.1,8.3,8.5,Low,8,5,4,9,6,1.2,Good,97.0,6.68,Average,Low
100217,25,Other,MCA,4th,9.8,4.3,4.5,High,4,9,4,9,8,1.3,Good,91.4,4.09,Average,High
100218,19,Female,BBA,3rd,3.1,4.4,5.8,Low,4,4,10,4,5,0.3,Average,72.4,5.92,Poor,High
100219,19,Male,MBA,1st,6.9,4.9,9.6,High,8,10,1,6,3,0.3,Good,88.2,5.58,Average,High
100220,19,Female,MBA,1st,2.4,7.4,8.3,High,3,5,8,1,1,1.5,Poor,72.1,9.87,Good,High
100221,20,Male,BTech,1st,8.0,8.9,2.3,High,5,7,4,2,1,2.0,Good,88.1,6.55,Average,Medium
